Common name,Scientific name,Family,Tag,Width,Soil pH,Height,USDA Hardiness zone,Water requirement,Life cycle,Soil type,Light requirement,Utility,Alternate name,Task Recommendations.,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11
Butterfly bush ,Buddleia davidii,Buddleiaceae,Pollinator attractor,2.0,6.0 - 7.5,4.0,3-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Hedgerow, Erosion control, Nitrogen fixer","Silver buffaloberry, rabbit berry, thorny buffalo berry, nebraska currant","Plant in well-drained soil with full sun, prune hard in late winter to encourage vigorous growth, irrigate moderately during dry spells, apply balanced fertilizer in early spring, mulch to conserve moisture, control spider mites and aphids, deadhead spent flowers to extend bloom period",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Butternut - White Walnut ,Juglans cinerea,Juglandaceae,Shade provider,12.0,6.0 - 7.0,25.0,3-7,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dye, Herbicide, oil, Lumber, Dynamic accumulator",Butternut,"Plant in deep, fertile, well-drained soil with full sun, avoid waterlogging to prevent root rot, irrigate young trees regularly, apply nitrogen and potassium fertilizer in early spring, prune in winter to remove dead or crossing branches, mulch to conserve moisture, harvest nuts when husks split, control butternut canker",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Cabbage ,Brassica oleracea capitata,Brassicaceae or cruciferae,Culinary vegetable,0.6,6.0 - 7.5,0.8,7-11,Moist,Biennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Dynamic accumulator","Ornamental cabbage, red cabbage, savoy cabbage","Sow seeds in cool season in fertile, well-drained soil, thin seedlings to 30 cm spacing, irrigate consistently to avoid stress, apply nitrogen-rich fertilizer every 3 weeks, harvest heads when firm and compact, mulch to suppress weeds, control cabbage loopers with Bacillus thuringiensis, rotate crops annually",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Cabbage palm ,Cordyline australis,Agavaceae,Shade provider,3.0,6.0 - 7.5,18.0,3-7,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Gum, Tannin, Lumber, Espalier",Sweet cherry,"Plant in well-drained soil with full sun to partial shade, irrigate moderately to keep soil moist, apply balanced fertilizer quarterly, mulch to retain moisture, prune dead leaves regularly, protect from frost, propagate by division or stem cuttings, avoid waterlogging",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Cancer Weed,Salvia lyrata,Lamiaceae or labiatae,Pest repellent,0.3,6.0 - 7.5,0.6,4-9,"Dry, Moist",Perennial,"Light (sandy), Medium","Partial sun/shade, Full sun",Medicinal,Lyreleaf sage,"Sow seeds in well-drained soil in spring, thin seedlings to 15 cm spacing, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, prune to remove old flower spikes, mulch to conserve moisture, control aphids with insecticidal soap, harvest leaves before flowering for medicinal use",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273
Caraway Thyme,Thymus herba-barona,Lamiaceae or labiatae,Pest repellent,0.3,6.0 - 8.0,0.1,8-10,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Deodorant, Disinfectant, Essential Oil, Ground cover, Fragrance",Caraway thyme,"Sow seeds or propagate by cuttings in spring, plant in well-drained, sandy soil with full sun, irrigate sparingly to avoid root rot, apply low nitrogen fertilizer, prune after flowering to maintain compact growth, mulch with gravel in dry climates, control spider mites, harvest leaves before flowering",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8181818181818182
Cardoon,Cynara cardunculus,Asteraceae or compositae,Tall crop,1.5,6.0 - 7.5,2.0,5-9,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,Dye,Artichoke; desert artichoke; european cardoon; globe artichoke; scotch thistle; scottish thistle; spanish artichoke; wild artichoke; wild cardoon spanish: alcachofa; alcaucil; cardo; cardo de comer french: artichaut commun; carde; cardon d’espagne russian: artišok ispanskij arabic: al harshuff england and wales: march-ysgall finland: isoartisokka germany: artishocke; gemüseartishocke; gemüse-artishocke; kardone italy: carciofo netherlands: kardoen portugal: alcachofra; cardo spain: card; card comestible; card comú; herbacol sweden: kardon,"Sow seeds indoors 6-8 weeks before last frost, transplant after frost risk, plant in fertile, well-drained soil with full sun, irrigate deeply during dry spells, apply phosphorus-rich fertilizer at planting, mulch to retain moisture, prune old leaves in late winter, harvest stalks before flowering",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Carolina buckthorn,Frangula caroliniana,Rhamnaceae,Shade provider,3.0,6.0 - 8.0,12.0,8-10,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Essential Oil, Hedgerow, Pest control, Strewing, Lumber, Fragrance","Bay tree, bay laurel, sweet bay, true laurel","Plant in moist, well-drained soil with partial shade, prune in late winter to remove dead wood, irrigate moderately during dry periods, mulch heavily to retain moisture, fertilize with balanced fertilizer in early spring, propagate by seed or cuttings, control scale insects, harvest bark for medicinal use",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8181818181818182
Carolina False Dandelion ,Pyrrhopappus carolinianus,Asteraceae or compositae,Soil conditioner,0.5,5.5 - 7.0,1.5,3-7,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Biomass, Compost, Dynamic accumulator","Radicchio, Succory, Witloof, Blue daisy, Blue dandelion, Blue sailors, Blue weed, Bunk, Coffeeweed, Cornflower, Hendibeh, Horseweed, Ragged sailors, Succory, Wild bachelor's buttons, Wild endive (note: ""cornflower"" is commonly applied to centaurea cyanus) common names for varieties of var foliosum include endive, Radicchio, Belgian endive, French endive, Red endive, Sugarloaf, witloof, Witlof","Sow seeds in well-drained soil in early spring, thin seedlings to 20 cm spacing, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, deadhead to prolong flowering, mulch to conserve moisture, control aphids, harvest leaves before flowering",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Carrot ,Daucus carota sativus,Apiaceae or Umbelliferae,Slow starter,0.2,6.0 - 7.0,1.2,3-10,Moist,Biennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Alcohol, Dye, Essential Oil, Dynamic accumulator, Fragrance","Garden carrot, orange carrot","Sow seeds directly in loose, well-drained soil in early spring, thin seedlings to 5-7 cm spacing, maintain consistent moisture with drip irrigation, apply potassium-rich fertilizer during root development, mulch to suppress weeds, control carrot rust fly with row covers, harvest roots when 2-3 cm diameter",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6363636363636364
Caryocar brasiliense,Caryocar brasiliense,Caryocaraceae,Fruit/seed producer,10.0,5.5 - 6.5,10.0,10-12,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fire starter, Fencing, Lumber, oil, Soap making, Tannin","Souari nut, pequi or òsouari nutó (caryocar brasiliense) other names: pequi, piquia-oil plant, piqui, choky apple, piquia-bravo, amendoa-de-espinho, grao-de-cavalo, pequia, pequia-pedra, pequerim, suari, piquia, brazilian souari nut broadleaved lucuma","Plant in deep, well-drained fertile soil with full sun, irrigate regularly during dry periods, apply balanced fertilizer quarterly, mulch to conserve moisture, prune to remove dead or crowded branches, protect young trees from frost, harvest fruits when mature, propagate by seed or cuttings",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
Cascara,Rhamnus purshiana,Rhamnaceae,Shade provider,10.0,5.5 - 6.5,12.0,7-10,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Cosmetic, Lumber",Japanese persimmon,"Plant in well-drained, acidic soil with partial shade, irrigate moderately to keep soil moist, prune after fruiting to maintain shape, mulch to retain moisture, harvest bark in late autumn for medicinal use, propagate by seed or cuttings, control scale insects, avoid waterlogging",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
Cassava,Manihot esculenta,Euphorbiaceae,Heavy feeder,1.0,5.5 - 6.5,3.0,9-12,"Dry, Moist","Annual, Perennial","Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Adhesive, Mulch","Tapioca plant, yuca, agbeli kute, akbo, akpu, 'akuy, aloti, bafra, bandaradji, bankye, bantara, ba thing, biska, chombe, damloong chhe, dhandi aluvi, duade, ege, emwogo, etodia sana, e-yoka, ezhalai kizhangu, gbandabi, huwi dangdeur, ingwese, kala-marauk, kamoteng kahoy, kappa, k'araza, karrapendalamu, kasada, kasapen, kasawe, kasera, katapa, katela budin, katera pohon, kehp tuhke, kizhangu, malei, man sam parang, mandioca, manduka, manioco, maniok, maniokku, mansampalang, marachini, maragenasu, maravalli kizhangu, mattu gamwogo, muhogo, muhoko, mu","Plant stem cuttings in well-drained, sandy loam after last frost, maintain soil moisture but avoid waterlogging, apply potassium-rich fertilizer during tuber development, mulch to conserve moisture, control cassava mosaic virus by using resistant varieties, harvest roots 8-12 months after planting, rotate crops to reduce pests",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.45454545454545453
Catalpa bungei,Catalpa bungei,Bignoniaceae,Shade provider,8.0,6.0 - 7.5,10.0,5-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Lumber,Bunge's catalpa,"Plant in fertile, well-drained soil with full sun to partial shade, irrigate moderately during dry spells, fertilize annually with balanced fertilizer, prune in late winter to remove dead wood, mulch to conserve moisture, propagate by seed or cuttings, control caterpillars, harvest seeds in autumn",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Celeriac ,Apium graveolens rapaceum,Apiaceae or umbelliferae,Culinary vegetable,0.5,6.0 - 7.0,0.6,5-9,Moist,Biennial,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,"Edible root vegetable, culinary",Turnip-rooted celery,"Sow seeds indoors 8-10 weeks before last frost, transplant after frost risk, plant in fertile, well-drained soil with consistent moisture, apply nitrogen-rich fertilizer biweekly, mulch to retain moisture and suppress weeds, thin seedlings to 20 cm spacing, control celery leaf spot with fungicides, harvest roots when 10-15 cm diameter",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6363636363636364
Celery ,Apium graveolens,Apiaceae or umbelliferae,Culinary vegetable,1.2,6.0 - 8.0,1.5,6-11,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Attracts insects, Hedgerow","Rosmarinus officinale, rosmarinus officinalis","Sow seeds in early spring in moist, fertile soil, thin seedlings to 15 cm spacing, irrigate regularly to maintain soil moisture, apply balanced fertilizer monthly, mulch to conserve moisture, control aphids and celery leaf miner, harvest stalks before flowering, rotate crops to reduce disease",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8181818181818182
Chamomile ,Matricaria chamomilla,Asteraceae or Compositae,Pollinator attractor,1.0,6.5 - 7.0,1.1,2-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Pest control,Sparrow grass,"Sow seeds in well-drained soil in early spring, thin seedlings to 20 cm spacing, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, deadhead to prolong flowering, mulch to conserve moisture, harvest flowers at full bloom for medicinal use, avoid overhead irrigation",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Chayote ,Sechium edule,Cucurbitaceae,Climber/vine,1.0,6.0 - 7.0,12.0,9-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Weaving material, Fiber","Mirliton, cho ko, cho-cho, vegetable pear, christophene, alcaiota, cayota, chaco, chayotera, chayotli, chinchayote, chitungula, chocho, choco, chow-chow, chuchu, cidrayota, ebisusuuti, fak mao, fak meo, fat shau kwa, fo shou gua, gambas, gayota, goorakathee, guispui, harp jeung kwa, hayato uri, huisquil, iskos, iskus, iskut, khaugai, labu siem, li gua, machiche, ngowe, papa del aire, pis, saiotta, sayote, se-uak, sumsum, sun ren gua, susut, toluteipi, vegetable pear, walu jepan, xuxu, camochayote, chayote, chayóte espinoso, chinchayote, cho-cho, chocho, chou-chou, chow chow|chow chow, christofine, christophine, chuchu, cueza, fo shou gua, hayato-uri, kayote, machiche-francês, machucho, pipinela, stachelgurke, tallote, vegetable-pear, xuxú","Plant tubers in fertile, well-drained soil with full sun to partial shade, provide trellis support for vines, irrigate deeply and regularly during growing season, apply balanced fertilizer monthly, mulch to retain moisture, control squash bugs with insecticidal soap, harvest fruits when young and tender",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Cheeseweed,Malva parviflora,Malvaceae,Soil conditioner,0.5,6.0 - 7.0,0.5,4-9,Moist,Annual,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Hair, oil",Cheeseweed mallow,"Sow seeds in well-drained soil in spring, thin seedlings to 15 cm spacing, irrigate moderately to maintain moisture, apply balanced fertilizer monthly, deadhead spent flowers, mulch to conserve moisture, control powdery mildew by improving air circulation, harvest leaves for medicinal use",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Cherry Birch ,Betula lenta,Betulaceae,Shade provider,6.0,5.5 - 6.5,24.0,3-7,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Essential Oil, Fire starter, Tannin, Lumber, Dynamic accumulator, Fragrance","Sweet birch, black birch","Plant in deep, well-drained fertile soil with full sun to partial shade, irrigate during dry spells, apply organic compost annually, prune in late winter to remove dead or diseased branches, mulch to conserve moisture and suppress weeds, protect young trees from frost, control birch leafminer, maintain soil pH 5.0-6.5",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
Cherry plum ,Prunus cerasifera,Rosaceae,Fruit/seed producer,4.0,6.0 - 7.5,9.0,4-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dye, Hedgerow, Rootstock, Wind breaker","Myrobalan plum, newport cherry plum, pissard plum","Plant in well-drained fertile soil with full sun, irrigate regularly during dry periods, fertilize annually with balanced fertilizer, prune in late winter to remove dead or crossing branches, mulch to retain moisture, control brown rot and aphids, thin fruit to improve size, harvest when fruit is fully colored and slightly soft",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Chestnut Hybrids ,Castanea (hybrids),Fagaceae,Shade provider,12.0,5.0 - 6.5,30.0,4-9,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Edible nuts, timber, wildlife food",Hybrid & neohybrid chestnuts castanea spp,"Plant in deep, well-drained acidic soil with full sun, irrigate regularly during dry spells, apply nitrogen and potassium fertilizer in early spring, mulch to conserve moisture, prune in late winter to remove dead or diseased branches, control chestnut blight and weevils, harvest nuts when burs split, propagate by grafting",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.36363636363636365
Chick Pea ,Cicer arietinum,Fabaceae or leguminosae,Nitrogen fixer,0.4,6.0 - 7.5,0.6,2–10,"Dry, Moist",Annual,"Light (sandy), Medium",Full sun,Nitrogen fixer,Garbanzo bean,"Sow seeds in well-drained loam in early spring, inoculate seeds with rhizobium bacteria, thin seedlings to 10 cm spacing, maintain moderate soil moisture, apply phosphorus-rich fertilizer at planting, control pod borers with integrated pest management, harvest pods when dry and brown, rotate crops to reduce disease",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
Chili,Capsicum annuum,Solanaceae,Culinary vegetable,3.0,5.0 - 6.5,8.0,5-8,"Dry, Moist",Perennial,"Light (sandy), Medium",Full sun,"Adhesive, Dye, Herbicide, Pitch, Lumber","Pinyon, piñon pine, pinon, pinyon pine","Sow seeds indoors 8-10 weeks before last frost, transplant after frost risk, provide full sun and well-drained soil, irrigate consistently to maintain moisture, apply balanced fertilizer biweekly, stake plants to support heavy fruit load, control aphids and whiteflies, harvest peppers when fully colored, avoid over-fertilizing nitrogen",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.36363636363636365
Chinese Angelica Tree ,Aralia chinensis,Araliaceae,Shade provider,3.0,4.5 - 6.5,5.0,3-8,Moist,Perennial,"Light (sandy), Medium","Full sun, Partial sun/shade","Cosmetic, Rootstock, Tannin, Lumber, Fragrance","American witchhazel, Common witchhazel, Virginian witchhazel, Witchhazel","Plant in fertile, well-drained soil with partial shade, irrigate moderately to keep soil moist, apply balanced fertilizer quarterly, mulch to retain moisture, prune dead or weak branches in late winter, propagate by seed or cuttings, control scale insects, protect from frost",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2727272727272727
Chinese Arrowroot ,Sagittaria trifolia,Alismataceae,Ground cover,0.5,5.5 - 6.5,1.0,10-12,"Wet, Water",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Edible tubers, aquatic plant",Threeleaf arrowhead,"Plant tubers in shallow, muddy water or moist soil in spring, maintain water depth of 5-10 cm, apply balanced fertilizer monthly, control weeds manually, harvest tubers in late autumn before frost, avoid waterlogging in dry periods, propagate by division",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.45454545454545453
Chinese Artichoke ,Stachys affinis,Lamiaceae or labiatae,Ground cover,0.4,6.0 - 7.0,0.5,4-8,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Edible tubers, ground cover",Artichoke betony,"Plant tubers in fertile, well-drained soil with full sun to partial shade, irrigate regularly to maintain moist soil, apply balanced fertilizer monthly, mulch to conserve moisture, harvest tubers in late autumn, control slugs and snails, propagate by division",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Chinese Boxthorn ,Lycium chinense,Solanaceae,Climber/vine,3.0,5.0 - 7.5,3.0,4-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Crafting, Fire starter, Lumber","Blue elder, elderberry","Plant in well-drained sandy loam with full sun, irrigate moderately during dry spells, prune in late winter to remove dead wood and shape, apply balanced fertilizer in early spring, mulch to conserve moisture, control aphids and spider mites, harvest berries when fully ripe, propagate by cuttings",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5454545454545454
Chinese chestnut ,Castanea mollissima,Fagaceae,Shade provider,3.0,6.0 - 7.5,25.0,4-9,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dye, Essential Oil, Fiber, Animal feed, Fire starter, oil, Erosion control, Lumber, Dynamic accumulator, Nitrogen fixer, Fragrance",Yellow locust,"Plant in deep, well-drained acidic soil with full sun, irrigate regularly during dry spells, apply nitrogen and potassium fertilizer in early spring, mulch to conserve moisture, prune in late winter to remove dead or diseased branches, control chestnut blight and weevils, harvest nuts when burs split, propagate by grafting",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Chinese dogwood ,Cornus kousa,Cornaceae,Shade provider,6.0,6.0 - 7.5,12.0,4-9,Moist,Perennial,"Light (sandy), Medium","Full sun, Partial sun/shade","Weaving material, Lumber","Eastern redbud, mexican redbud, texas redbud","Plant in well-drained, fertile soil with full sun to partial shade, irrigate moderately during dry periods, mulch to retain moisture, prune to shape after flowering, fertilize annually with balanced fertilizer, propagate by seed or cuttings, control dogwood anthracnose",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273
Chinese Fir,Cunninghamia lanceolata,Taxodiaceae,Shade provider,10.0,5.0 - 6.5,15.0,6-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fire starter, Lumber, Fragrance","China fir, China cedar","Plant in deep, well-drained acidic soil with full sun, irrigate regularly during dry periods, apply nitrogen-rich fertilizer in early spring, mulch to conserve moisture, prune dead branches, protect young trees from frost, propagate by seed or cuttings, control bark beetles",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.36363636363636365
Chinese indigo,Indigofera decora,Fabaceae or leguminosae,Nitrogen fixer,1.0,6.0 - 7.5,1.0,5-7,Moist,Perennial,"Light (sandy), Medium",Full sun,"Nitrogen fixer, Fragrance",Chinese indigo,"Sow seeds after scarification in spring, plant in well-drained sandy loam with full sun, irrigate sparingly to avoid root rot, apply phosphorus-rich fertilizer at planting, prune dead stems in late winter, mulch to suppress weeds, control flea beetles, avoid overwatering during dormancy",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7272727272727273
Chinese Peony,Paeonia lactiflora,Paeoniaceae,Soil conditioner,0.5,6.0 - 7.5,0.8,4-10,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Fragrance,Peony,"Plant in fertile, well-drained soil with full sun to partial shade, irrigate moderately during growing season, apply balanced fertilizer in early spring, mulch to retain moisture, stake tall stems to prevent lodging, prune dead foliage in autumn, propagate by division in autumn",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Chinese Water Chestnut ,Eleocharis dulcis,Cyperaceae,Ground cover,0.5,5.5 - 7.0,1.0,9-12,"Wet, Water",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Fiber, Weaving material","Apulid, biqi, buslig, chee-chang, chikai, go nung, ground-chestnut, haeo cheen, haeo-song krathiem, inu kuro guwai, kokthum, kurogu-wai, kuwai, li zi, m'pofa, ma ti, ma-tai, macre, mampufa, mem plong khtim, okuroguwai, pani phul, po-chi, singhara, tall spike-rush, tike, waterchestnut, waternut, ye thit eir thee","Plant rhizomes in shallow water or saturated soil in warm season, maintain water depth of 5-10 cm, apply balanced fertilizer monthly, control weeds manually, harvest tubers before frost, avoid waterlogging in dry periods, propagate by division",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5454545454545454
Chives ,Allium schoenoprasum,Alliaceae,Pest repellent,0.5,6.0 - 7.0,0.3,3-12,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","antifungal, Dynamic accumulator, Ground cover, Fragrance","Wild chives, Flowering onion","Sow seeds indoors 8-10 weeks before last frost, transplant after frost risk, plant in well-drained fertile soil with full sun, irrigate regularly to maintain moisture, apply balanced fertilizer monthly, mulch to conserve moisture, harvest leaves by cutting outer leaves, control thrips",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6363636363636364
Chokeberry ,Aronia melanocarpa,Rosaceae,Fruit/seed producer,3.0,6.0 - 7.5,3.0,4-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dye, Fragrance","Summer lilac, butterflybush, orange-eye butterfly bush; buddleja; summer lilac french: buddleia de david austria: schmetterlingsstrauch; sommerflieder germany: schmetterlingsstrauch; sommerflieder; spitzaehriger schmetterlingsstrauch italy: albero delle farfalle japan: chichibu-fujiutsugi; fusa-fujiutsugi switzerland: schmetterlingsstrauch; sommerflieder","Plant in well-drained acidic soil with full sun to partial shade, irrigate during dry spells, apply balanced fertilizer in early spring, prune in late winter to remove dead or weak branches, mulch to retain moisture, harvest berries when fully ripe and dark purple, control aphids and fungal diseases",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.7272727272727273
Cichorium intybus,Cichorium intybus,Asteraceae,Culinary vegetable,2.0,6.0 - 7.5,2.0,4-9,Moist,Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Ornamental shrub,"Japanese rose, jew's mallow, japanese kerria","Sow seeds in well-drained fertile soil in early spring, thin seedlings to 20 cm spacing, irrigate regularly to maintain moisture, apply nitrogen-rich fertilizer every 3 weeks, harvest leaves before flowering for best flavor, mulch to suppress weeds, control leaf miners, rotate crops annually",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Cinquefoil ,Potentilla fruticosa,Rosaceae,Soil conditioner,2.0,4.5 - 6.0,2.0,7-10,"Dry, Moist",Perennial,"Light (sandy), Medium","Full sun, Partial sun/shade","Dye, Fire starter, Soap","Whiteleaf manzanita, konocti manzanita, contra costa manzanita, roof's manzanita, wieslan, common manzanita","Plant in well-drained soil with full sun, prune after flowering to maintain shape, irrigate moderately during dry periods, apply balanced fertilizer in early spring, mulch to conserve moisture, propagate by softwood cuttings, control aphids, avoid waterlogging",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.18181818181818182
Citron daylily ,Hemerocallis citrina,Hemerocallidaceae,Pollinator attractor,0.5,6.0 - 7.5,0.8,4-8,"Dry, Moist",Perennial,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Weaving material, Fragrance",Lemon daylily,"Plant in well-drained fertile soil with full sun, irrigate moderately during dry spells, apply balanced fertilizer in early spring, divide clumps every 3-4 years in spring, mulch to conserve moisture, deadhead spent flowers, control spider mites, propagate by division",1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7272727272727273
Citrullus lanatus ,Citrullus lanatus,Cucurbitaceae,Climber/vine,3.0,6.0 - 6.8,0.5,8-11,"Dry, Moist",Annual,"Light (sandy), Medium",Full sun,"oil, Pectin",Cucumis lanatus,"Sow seeds directly in warm soil after last frost, thin seedlings to 90 cm spacing, irrigate deeply once per week, apply nitrogen fertilizer early and potassium during fruiting, mulch to conserve moisture, control cucumber beetles and powdery mildew, harvest when tendril near fruit dries",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6000000000000001
Citrus reticulata ,Citrus reticulata,Rutaceae,Pest repellent,1.0,5.5 - 6.5,4.5,9-11,Moist,Perennial,"Medium, Heavy (clay)",Full sun,"Essential Oil, Espalier, Fragrance","Tangerine, unshu orange, satsuma orange, temple orange, chieh, chu, clementine, hondra, jamanarang, jeruk keprak, jeruk keprok, ju, kamala, kamla lebu, kyul, leing maw thee, mandarine, mandarini, mangada, mikan, moli madarini, nagpur suntra, naran, narangi, nartjie, santara, satsuma, soco madarini, som khiew wan, tangerina, te mantarin","Plant in well-drained, slightly acidic soil with full sun, graft preferred cultivars onto rootstock, irrigate deeply during dry periods, apply balanced citrus fertilizer quarterly, prune to remove suckers and shape in late winter, monitor for citrus leaf miner and scale insects, mulch to conserve moisture, protect from frost",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.45454545454545453
